ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	AOI[header]Hit	AOI[top-menu]Hit	AOI[carousel]Hit	AOI[side-menu]Hit	AOI[news-tp-cup]Hit	AOI[news-dod]Hit	AOI[down-news]Hit	AOI[about-fiit]Hit	AOI[contacts]Hit	AOI[map-location]Hit	AOI[logos-and-social]Hit	AOI[down-menu]Hit	AOI[footer]Hit	AOI[header-links]Hit	AOI[header-search]Hit	AOI[header-logo]Hit	AOI[top-menu-faculty]Hit	AOI[top-menu-prospective-students]Hit	AOI[top-menu-students]Hit	AOI[top-menu-alumni]Hit	AOI[top-menu-research]Hit	AOI[top-menu-public]Hit	AOI[top-menu-employees]Hit	AOI[down-menu-study]Hit	AOI[down-menu-research]Hit	AOI[down-menu-international]Hit	AOI[down-menu-faculty]Hit	AOI[down-menu-media]Hit	AOI[down-menu-links]Hit	AOI[down-menu-accessiblity]Hit	AOI[main-body]Hit	AOI[left-menu]Hit	AOI[Polygon]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									12489	10:59:01.243	1481882444562759																1		Fixation	117	662	761	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	716	850	670	855	693	852	663	775	193,65	94,68	181,16	93,47	187,41	94,08	237,26	246,13	534,41	295,09	238,54	524,36					578,06	578,06	3,52	3,40	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									12639	10:59:01.393	1481882444712763																2		Fixation	200	757	406	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	35	796	495	773	490	784	492	754	415	215,43	190,79	209,06	192,38	212,25	191,59	237,39	246,82	533,81	295,14	239,25	523,48					577,82	577,82	3,62	3,53	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									14865	10:59:03.619	1481882446939031																3		Fixation	135	973	404	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	167			986	456	986	456	956	379			266,79	201,55						264,78	206,84	448,33						0,00		3,37	4	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									15101	10:59:03.855	1481882447175074																4		Fixation	117	718	190	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	760	311	730	225	745	268	715	191	205,69	240,62	197,40	263,93	201,55	252,28	192,13	213,21	490,06	251,08	219,89	490,01					527,65	527,65	3,62	3,86	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									15252	10:59:04.005	1481882447325656																5		Fixation	300	908	260	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	947	364	924	300	935	332	905	255	256,31	226,39	249,95	243,77	253,13	235,08	193,39	212,84	492,63	252,43	218,91	493,82					529,65	529,65	3,68	3,80	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									15568	10:59:04.322	1481882447642237																6		Fixation	233	954	267	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209	973	365	986	313	979	339	949	262	263,36	226,02	266,74	240,24	265,05	233,13	193,45	210,26	494,86	252,29	218,09	496,79					530,58	530,58	3,66	3,77	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									15835	10:59:04.589	1481882447908965																7		Fixation	300	1055	252	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	1075	339	1084	304	1079	321	1049	244	290,88	233,23	293,18	242,75	292,03	237,99	199,49	210,40	497,35	258,47	216,78	500,19					532,18	532,18	3,82	3,69	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									16185	10:59:04.939	1481882448258871																8		Fixation	217	934	286	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	973	372	970	333	971	352	941	275	263,22	224,12	262,44	234,91	262,83	229,51	201,67	209,58	494,63	260,72	215,37	497,13					529,14	529,14	3,67	3,72	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									16418	10:59:05.172	1481882448492297																9		Fixation	233	866	266	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	903	373	886	323	894	348	864	271	244,24	223,99	239,78	237,54	242,01	230,76	200,95	208,27	493,69	259,95	214,50	496,33					527,84	527,84	3,57	3,63	0	0				
2.1.2017	3.4.4	DOD2016	FIIT	P01m	Rec 01m	16.12.2016	179979	1920 x 1200	I-VT filter	http://www.fiit.stuba.sk/	30	77	1864	1977									16685	10:59:05.439	1481882448758878																10		Fixation	250	855	116	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	276	875	229	890	160	882	194	852	117	236,79	263,03	240,80	281,76	238,79	272,40	200,84	208,38	493,80	259,77	214,60	496,43					527,99	527,99	3,61	3,61	0	0				
